name,author,link,rating,rating_count,review_count,pages_count,price,text_reviews,age,year
Изучаем DDD – предметно-ориентированное проектирование,Влад Хононов,https://www.litres.ru/book/vlad-hononov/izuchaem-ddd-predmetno-orientirovannoe-proektirovanie-70920895/,0,,1,319,549,"Эта книга из той лиги, в которой я пока не состою - лиги крутых разрабов и архитекторов. И я имею ввиду не какую-то субъективную оценку. Разработчикам с малым опытом нужно читать конкретику, изучать дальше фишки языка, алгоритмы. Какой смысл от джуна, который знает, что такое предметная область, но не может послать запрос на сервер? Как мне кажется, пользы от него мало. Прочитал я где-то 30% и решил отложить ее до лучших времен.,Если говорить о содержании, то вроде норм, а вроде нет. Пишет о простых вещах сложным языком. Как будто хочет этой суррогатной сложностью добавить веса своим мыслям и словам. Но прикольный моменты есть.,Переводчики как будто решили лишний раз не рисковать и оставлять оригинальные слова в скобочках. Мне это тоже понравилось, но выглядит это странновато.,В общем к книге я вернусь, как только наращу базу и наберусь большего опыта.",0+,2022
Создай свой VPN. Безопасное использование интернета,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/sozday-svoy-vpn-bezopasnoe-ispolzovanie-interneta-70388320/,"5,0",243,8,280,690,"Нашел в книге решение своей ошибки. В общем для этого ее и приобрел. Для новичка в этой теме подойдет. Есть полезные советы, помогают. Иногда ошибку ищешь не там…,В общем оказалось все проще, чем я представлял. Все можно настроить и разобраться. Главное просто начать. Не боятся ошибок, они тоже решаемы. Я одно время застрял на определенном этапе, бросил, а зря. Можно было на форумах полазить, почитать и дальше двигаться. Не стесняйтесь просить у «старших» помощи!,Очень своевременно нашел эту книгу. Тема  с Vpn еще долго будет актуальной. Хочу попробовать обезопасить  себя, ну хоть немного. Как в книге говорится, хотя бы в аэропорту.),Казалось бы еще десять лет назад никто и думать не думал про этот vpn… Книга пригодилась, нужная тема. Безопасность хоть и мнимая.,Использовал книгу для того чтобы попробовать создать vpn для домашнего использования. В целом получилось, нужно еще доработать некоторые моменты. Надо учиться.,Дельная книга. Нацелена прежде  всего на создание безопасного использования интернета, а не доступа к левым сайтам. Хотя одно не исключает другое.,Очень увлекся книгой. Не думал раньше что vpn настолько полезная штука в плане безопасности. Понятно конечно что есть антивирусы, но все мы знаем …,Мне помогло))). Не все конечно. Но есть занятные вещицы и предложения. Попадаются моменты на которые стоит обратить внимание.",12+,2024
Разработка сложных отчетов в «1С:Предприятии 8». Система компоновки данных (+ epub),Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/razrabotka-slozhnyh-otchetov-v-1s-predpriyatii-8-sistema-ko-70927897/,0,,0,485,490,,12+,2024
1С:Предприятие 8.3. Практическое пособие разработчика. Примеры и типовые приемы. Издание 3-е,Е. Ю. Хрусталева,https://www.litres.ru/book/e-u-hrustaleva/1s-predpriyatie-8-3-prakticheskoe-posobie-razrabotchika-pri-40932461/,"4,5",72,15,983,180,"Книга супер!!! Даю проверенный совет. Прошла книгу от начала и до конца и заметила в своих навыках очень положительные изменения. Много хороших практических доступных примеров. Я очень довольна. Это то что я искала.,Довольно не плохая книга для начинающего разработчика 1с, занятия построены от простого к сложному, рекомендую установить учебную версию 1с предприятие и стразу тренироваться, вы будете разрабатывать прикладное решение для не большой фирмы оказывающей бытовые услуги.,Задумка хорошая, но реализация так себе!,Практическая часть, в основном подаётся не плохо: есть иллюстрации и описание к ним. ,Некоторые занятия проходил быстро и с лёгкостью отвечал себе на вопросы: Что делаю?; Как делать?; Для чего это нужно?.,Иногда, начиная читать теоретическую часть, уже к середине описания действия терялся в пространстве. А всё потому, что автор употреблял большое количество терминов, знакомство с которыми, в данном занятии не предусмотрено.,Чтобы не быть голословным, приведу первый попавшийся пример:,стр.147 – «Это означает, что экземпляры этого модуля будут скомпилированы в контексте тонкого клиента и в контексте веб-клиента.»,А что это за клиенты и для чего такое разделение, читатель должен понять или выяснить, на этапе занятия N4 самостоятельно.,А теперь, что касается фразы, которую можно прочитать в описании книги:,""Материал рассчитан на начинающих разработчиков, не знакомых с системой 1С:Предприятие 8"".,Так вот, это не совсем так или автор этой фразы забыл дописать:,Но имеющих общее представление о программировании…,В противном случаи, некоторые описания, например описания «Процедур», которые будут автоматически создаваться Конструктором или Вами, в процессе выполнения практических заданий, будет сложно усвоить и понять. А возможно, что-то придётся просто принять как данное, что, на мой взгляд, не будет способствовать усвоению материала.,Прекрасная книга для не особо начинающих в 1С. Совсем новичку с нулевым уровнем довольно трудно читать. Но сама по себе книга является исчерпывающим ответом на большинство вопросов молодого специалиста.,Замечательная книга для обучающихся программированию с 1С. Все материалы в доступной для понимания форме. Использую, как шпаргалку во время своего обучения. Доступна для скачивания, что очень удобно. Моё обучение проходит с использованием материалов этой книги. Содержит ознакомительную информацию о самой ИБ, а также по отдельности описаны элементы дерева конфигурации, приемы разработки и редактирования.,Простая книга о сложном, местами даже увлекательная! Понятная подача материала. Идеально для начинающих, читай, делай, понимай!,Лучшая книга для начинающих!!! Много хороших примеров, которые и на основе которых можно с дальнейшем работать. Скачаете платформу 1с и тренируйтесь!,Книга задумана хорошо, но реализована отвратно. Примеры не работающие, требуется ""допиливать"", что в случае отсутствия навыков программирования крайне затруднительно.,Отличная книга. Написана доступным языком. У автора еще много интересных и полезных книг есть. Для пользователя 1С , но новичка самое оно!!!,Супер, когда берешь эту книгу как приложение к учебной базе ( есть в свободном доступе). Насколько все проще! Тогда и работаешь в полноценном режиме- так как этот комплект и задумывался авторами- книга + CD для практики!",12+,2023
C++20 для программистов (pdf+epub),"Пол Дейтел, Харви Дейтел",https://www.litres.ru/book/pol-deytel/c-20-dlya-programmistov-pdf-epub-70870268/,0,,0,1056,699,,16+,2022
Go. Идиомы и паттерны проектирования (pdf + epub),Джон Боднер,https://www.litres.ru/book/dzhon-bodner/go-idiomy-i-patterny-proektirovaniya-pdf-epub-67893687/,"5,0",7,5,416,699,"Странно, что у этой книги нет отзывов. Да, Go считается достаточно простым языком, в котором нет упора на сложные абстрактные концепции.,Но всё же многое для новичков в нем может быть контринтуитивно - указатели, каналы, обработка ошибок, работа с пакетами. Отличная и цельная книга по языку. рекомендую. В документацию всё равно лезть придется, как и любому нормальному программисту =), но книги как раз и нужны для цельного понимания концепций в контексте всего языка.,Отличная книга для новичка и разработчика с опытом. Даже касаясь казалось бы банальных и понятных всем вещей вроде объявления переменных – объясняет не только какой есть функционал, но и почему он здесь – с какой целью его добавляли разработчики языка.,Помогает устаканить в голове подходы к разработке на го основываясь на понимании того какие плюсы даёт тебе написание кода именно таким образом.,Можно ли рекомендовать эту книгу в качестве первой по языку программирования Go? Да, если вы уже программировали на другом языке и вам не надо объяснять про то, зачем нужны переменные, циклы и функции.,Я прочёл четверть книги «Язык программирования Go» Кернигана и Донована и перешёл дальше на эту книгу Боднера. Её читать легче, чем Кернигана-Донована, а также здесь большее покрытие современных возможностей Go (хотя некоторые незначительные части устарели и здесь).,К слову — в январе 2024 должно выйти второе издание книги Боднера на английском в Oreilly.,Все ли темы здесь описаны так, что прозрачно становится понятна суть описываемой темы? Нет, точно нет, кое-где хочется почитать или посмотреть дополнительный материал по теме. И это не из-за перевода, просто материал иногда написан неидеально. Перевод на русский содержит ошибки и неточности, но в целом терпимо. Впрочем, читая на русском, держал оригинал под рукой и несколько раз в него заглядывал, чтобы убедиться, что там написано так же — помогало.,Тут на livelib соседний отзыв говорит, что книга Боднера это чуть расширенный пересказ Go Tour — мне так не кажется, материал здесь всё же гораздо более глубокий, подробный и действительно старающийся донести, как те или иные задачи решаются на Go идиоматически, то есть по-гошному, с учётом его возможностей.,Как и всегда, для того, чтобы погрузиться в язык (любой) плотно, одной книги мало, здесь не исключение. Что почитать ещё? Конечно, доку и официальный бложик команды Go, и вероятно всё же ещё какую-то одну-две-три книги. У Донована, несмотря на нудность, по отзывам хвалят описание конкурентности. «Облачный Go» хвалят. Цукалоса хвалят.,Так-то начать писать можно уже после Go Tour. После Боднера вариантов в голове появится ещё больше. Нормас, можно читать. Оценка — между 4 и 5, ну пусть будет 5, пока я добрый:) Книгу разбираем в Ботаним.,Книга просто пушка-бомба. Есть, конечно, главы, которые написаны сложновато или не до конца раскрывают тему, но 90% материала написаны отлично. Еще версия Go в книге 1.14, то есть очень старая (на момент чтения последняя версия 1.23).,У меня есть бэкграунд в разработке/программировании. И огромный плюс книги в том, что автор не разжевывает общие концепции, а делает упор на том, что уникально для Go. Например, автор показывает как настроить окружение под Go. Скучать разработчиком с опытом не придется. Подойдет ли она тем, кто вообще не знаком с языками программирования - скорее да (не уверен), чем нет, потому что как я понял эта книга самая простая, которая есть по Go. Также к плюсам отнесу то, что автор иногда раскрывает как что-то работает под капотом. И огромнейший плюс - глава про ТЕСТИРОВАНИЕ.  Глава про конкурентность не очень хорошая, не все понятно с первого раза да примеры скудные. Что-то понял, но не до конца. Может это связано со сложностью темы именно для меня.,Теперь к минусам. Глава про контекст - ужасная. Примеры, ну просто жесть. Вместо того, чтобы понять, что такое контекст, ты пытаешься разобраться в коде автора (об этом дальше). Я ее даже не дочитал, а пошел смотреть видос на ютубе. И я понял, что такое контекст и зачем он нужен. Глава про стандартные библиотеки мне тоже не понравилась по той же причине - ужасные примеры. Опять же пошел читать статьи и смотреть видосы. Глава про модули 50/50. Вот почему автор не удосужился написать о том, как импортировать локальные пакеты? У него примеры только с пакетами из удаленных репозиториев. Представили человека, который прочитав эту книгу, будет каждый вспомогательный одномоментный пакет выкладывать на гитхаб? Может это я дурак и что-то упустил. И последний минус - код автора. Чуть ли не в каждой главе он пишет про чистоту кода, про то, какой Go классный, идиоматичный и все такое. Видел бы этот код Роберт Мартин, то у него бы глаза выплали. ""a, b, xt, c и прочие твари"" - вот так можно охарактеризовать код из книги. И вот представьте, что вы читаете главу про контекст и к этому еще должны выполнять роль расшифровщика переменных. Самый прикол в том, что эта цитата принадлежит автору - ""Более короткий код далеко не всегда является более понятным и легким в сопровождении"",Несмотря на минусы я бы все равно прочитал ее еще раз. По ощущениям она базовая. То есть must have для тех, кто хочет начать писать на Go.",16+,2021
Информатика. 7 класс. Базовый уровень,"Л. Л. Босова, А. Ю. Босова",https://www.litres.ru/book/anna-bosova/informatika-7-klass-68294027/,"3,3",7,2,259,535,"Отличная книга. Актуальная информация и всё написано в доступной форме. Для школьной программы самое то. Учебник грамотно структурирован. И порадовало, что есть вопросы для самопроверки после каждой темы.,мне нравится. это очень хорошая книга. очень вам благодарна за то, что вы выпускаете ещё больше книг с таким названием.!",0+,2023
Архитектура компьютера,"Эндрю Таненбаум, Тодд Остин",https://www.litres.ru/book/endru-tanenbaum/arhitektura-komputera-66738078/,"4,2",6,3,816,699,"Большая, сложная, информативная книга. Рассказаны основы основ современного компьютера. не ищите в ней поверхностных знаний о актуальных вопросах, она освещает общую обстановку самого ""дна"" вычислительных машин - как работает то, о существовании чего обычный пользователь даже не догадывается. ,Признана как один из лучших учебников для профессионалов и специалистов. Если вы просто хотите ознакомиться с тем как работают компьютеры то лучше обойти эту книгу. Только для тех кто хочет нырнуть в ЭВМную ""бездну"".,Если сосредоточенно погружаться, интересно. Иногда надо себя заставлять. Но все же это серьезная литература. автор (г-н Таненбаум) весьма опытный преподаватель и методист,Ну что же, прочитав половину этой книги могу с уверенностью рекомендовать каждому it специалисту. Несомненно буду перечитывать её езё раз.",16+,2015
"Чистый код: создание, анализ и рефакторинг (pdf+epub)",Роберт Мартин,https://www.litres.ru/book/robert-s-martin/chistyy-kod-sozdanie-analiz-i-refaktoring-pdf-epub-6444478/,"4,2",121,19,464,599,"Несмотря на то, что некоторые вещи, расмотренные в книге, кажутся очевидными, зачастую даже опытные программисты упускают их из виду. Поэтому книга подойдет как новичкам в программировании, так и «гуру». Для новичков это прекрасный шанс привить себе навыки грамотного написания и документирования кода. ,Большая часть примеров написана на Java, однако советы, собранные здесь, прекрасно подходят и для других языков программирования.,Для чтения книги желательно (но не обязательно) хотя бы поверхностное знакомство с паттернами проектирования.,Книга обязательна к прочтению всем программистам. Я читал ее в начале своего пути, как программиста. Идеи книги неоднократно меня выручали. Однако, автор преподносит эти идеи в немного категоричном тоне. К рекомендациям стоит относиться с осторожностью. Если строго следовать каждому совету – получится преждевременная оптимизация программы со всеми вытекающими негативными последствиями.,Подходит для любого языка программирования – советы универсальные.,Читал книжку в оригинале. Конечно те, кто пишет на Java получать максимум из книги, но и тем, кто работает с другими языками, будут очень полезны первые 30% книги – как правильно называть переменные, как организовать класс, сколько аргументов лучше передавать в функцию и т.д. Все эти вещи проходят всколзь при подготовке программистов в ВУЗах, а ведь именно из таких мелочей и складываются хорошие системы. Вообще, стоит прочитать точно всем программистам.,Я фронтенд разработчик на js, а книга для джавистов но прочитал с удовольствием, много принципов, подходящих всем. Некоторые недостатки уже начал видеть в коде нашего проекта. Рекомендую кан продолжение книги Рефакторинг.,Учусь на программиста. Быстро стало понятно, что моя будущая квалификация во многом зависит от самообразования. Не все из этой книги мне понятно на данный момент, но книга полезная. В учебных заведениях почти не учат писать хороший код. А эта книга учит.,В книге описаны базовые вещи, которые необходимо знать каждому разработчику, начиная от названия имен переменных и методов, заканчивая организацией классов и уровней абстракции.,Автор пишет о том, что рассказывают в ВУЗах, о самой базе, которую мы забываем сдав экзамен.,Считаю что Чистый код – must have для прочтения каждого разработчика.,Почему не 5 звезд? потому что некоторые главы очень завязаны на Java и его фреймворках. При чтении, не Java разработчикам, их можно пропустить,Крутая книга для начинающих. Описано много моментов которые вы полностью перенесете в свою профессиональную деятельность и которые после прочтения станут для вас неотъемлемой частью ваших подходов в решении задач.,Книга будет определенно полезна тем, кто в программировании 1-3 года, на мой взгляд. Для начинающих тут много сложной информации (многопоточность), для ветеранов много банальных советов типа «именуем переменные по фен-шую». Я попал как раз в обозначенную категорию и сделал для себя много полезных мысленных пометок, а также стал гораздо внимательнее к коду.,Полезная книга для понимания принципа написания хорошего, приятного кода. Но больше на начинающего программиста рассчет. Думаю, прочитать её нужно каждому, просто кто-то на опыте часть пропустит, а кто-то прочитает с начала до конца.,Книга оказалась полезной для меня, после прочтения я начал изначально задумываться об оптимизации блока кода до начала написания этого же блока. Куча полезных советов, которые никогда не будут лишними. Очень полезно прочесть тем, кто работает в команде. Книга на 5+.",16+,
Нейросети начало,Джейд Картер,https://www.litres.ru/book/dzheyd-karter/neyroseti-nachalo-69188950/,"4,9",439,37,102,690,"Книга отличная. Давно хотела понять как все работает и какие возможности дают нейросети. В книге удобно и понятно все расписано. А главное сразу практическое применение, код. Теперь можно и свои сети попробовать делать.,Если вы хотите начать изучать нейросети, то это то, что вам нужно. Автор очень хорошо объясняет, что такое нейросеть и как она работает. Книга содержит примеры и задания, которые помогут вам углубить свои знания в этой области. Я думаю, что эта книга подойдет для всех, кто интересуется нейросетями, независимо от уровня подготовки.,В книге по каждой теме приводятся примеры кода, на которых подробно описан каждый шаг. Это очень удобно. Можно скопировать код и проверить его. ,Так же есть фишки, которые потом можно использовать и в других кодах.,Примеры кодов, тут их много. Новичок в теме или нет, а основы всегда должны быть под рукой. Очень удобно с электронки, скопировал код, и дальше уже меняешь под себя как надо. И для тех кто только пытается понять, тоже сразу на примерах каждый шаг. Отлично!,Это отличное введение в мир нейросетей для начинающих. Я научился многому о том, как работают нейроны, как они связаны в нейросетях, как обучать и применять их для различных задач, таких как классификация, регрессия и кластеризация. Автор ясно и доступно объясняют сложные концепции и методы, используя практические примеры и код. Я рекомендую эту книгу всем, кто хочет понимать, как работают нейросети и как их применять в реальной жизни.,Мне особенно понравилось, как автор пошагово объясняет, как обучить нейросеть и как выбрать подходящую нейросеть для конкретной задачи. Также было интересно узнать о более продвинутых методах, таких как глубокое обучение, автоэнкодеры и генеративные модели.,   Я бы рекомендовала эту книгу всем, кто интересуется технологиями машинного обучения и хочет понять, как работают нейросети. Она является отличным введением в эту тему и поможет начинающим разработчикам и исследователям быстро освоить основы нейросетей.,Отличная серия книг! Последовательно объясняются сложные моменты, на примерах все показывается. Обучиться можно. Без лишней воды.,Очень подробно и понятно. Все по полочкам разложено. Все на примерах показано. Нормальный учебник для самообучения. Главное что есть продолжение.,Та книга, которой нам сейчас не хватает. А именно практического руководства на русском языке. Для самообучения самое то что надо. У автора целая серия, что не может не радовать. Буду разбираться.,Долго думал, начинать ли эту тему. Казалось что сам освоить не смогу. Но зря боялся. Автор отлично пишет. Без лишней воды, только нужное. Сразу приводит пример кода. Можно брать за шаблон.",12+,2023
